Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 100 Hz
Time (s)	Voltage (V)
0	1.5283203125
0.010004	1.4990234375
0.019996	1.4794921875
0.03	1.4501953125
0.040004	1.4306640625
0.050004	1.416015625
0.059996	1.396484375
0.07	1.3818359375
0.080004	1.3671875
0.090004	1.3623046875
0.100004	1.3525390625
0.109996	1.3525390625
0.119996	1.3525390625
0.130004	1.34765625
0.140004	1.34765625
0.149996	1.34765625
0.160004	1.357421875
0.170004	1.357421875
0.18	1.38671875
0.189996	1.3818359375
0.199996	1.4013671875
0.209996	1.4013671875
0.219996	1.4208984375
0.229996	1.42578125
0.239996	1.435546875
0.249996	1.4501953125
0.259996	1.4599609375
0.269996	1.474609375
0.28	1.4794921875
0.289996	1.4990234375
0.299996	1.4990234375
0.309996	1.5087890625
0.319996	1.5185546875
0.330004	1.513671875
0.340004	1.5380859375
0.350004	1.533203125
0.359996	1.552734375
0.37	1.5478515625
0.379996	1.5576171875
0.390004	1.5576171875
0.399996	1.5576171875
0.409996	1.5625
0.420004	1.552734375
0.430004	1.5625
0.440004	1.5576171875
0.449996	1.5625
0.460004	1.5625
0.470004	1.5576171875
0.480004	1.5625
0.489996	1.5478515625
0.499996	1.5625
0.509996	1.5478515625
0.519996	1.5576171875
0.53	1.5478515625
0.539996	1.552734375
0.549996	1.552734375
0.559996	1.552734375
0.569996	1.552734375
0.579996	1.5380859375
0.589996	1.54296875
0.599996	1.54296875
0.610004	1.54296875
0.619996	1.54296875
0.629996	1.5478515625
0.639996	1.5478515625
0.650004	1.5478515625
0.659996	1.5478515625
0.669996	1.5283203125
0.679996	1.54296875
0.690004	1.5283203125
0.699996	1.5380859375
0.709996	1.5283203125
0.719996	1.533203125
0.730004	1.5283203125
0.740004	1.5185546875
0.749996	1.5283203125
0.760004	1.5185546875
0.770004	1.5185546875
0.780004	1.513671875
0.789996	1.5185546875
0.799996	1.5087890625
0.809996	1.513671875
0.819996	1.513671875
0.83	1.4990234375
0.839996	1.5087890625
0.849996	1.4990234375
0.859996	1.5087890625
0.869996	1.50390625
0.879996	1.4990234375
0.889996	1.4990234375
0.899996	1.4990234375
0.909996	1.494140625
0.92	1.4892578125
0.929996	1.494140625
0.939996	1.484375
0.949996	1.4892578125
0.959996	1.484375
0.970004	1.484375
0.980004	1.484375
0.990004	1.4697265625
0.999996	1.4697265625
1.01	1.4599609375
1.019996	1.46484375
1.030004	1.455078125
1.039996	1.455078125
1.049996	1.4501953125
1.060004	1.4501953125
1.070004	1.455078125
1.080004	1.46484375
1.089996	1.4892578125
1.100004	1.533203125
1.110004	1.6748046875
1.120004	1.865234375
1.129996	2.080078125
1.139996	2.3388671875
1.149996	2.666015625
1.159996	2.998046875
1.17	3.2568359375
1.179996	3.5302734375
1.189996	3.779296875
1.199996	4.00390625
1.209996	4.1259765625
1.219996	4.1943359375
1.229996	4.1845703125
1.239996	4.1455078125
1.250004	3.9892578125
1.259996	3.759765625
1.269996	3.5302734375
1.279996	3.271484375
1.290004	3.0029296875
1.299996	2.6806640625
1.309996	2.392578125
1.319996	2.1533203125
1.330004	1.9482421875
1.339996	1.7578125
1.349996	1.6455078125
1.359996	1.650390625
1.370004	1.7236328125
1.380004	1.8505859375
1.389996	2.0361328125
1.400004	2.28515625
1.410004	2.5732421875
1.420004	2.8271484375
1.429996	3.115234375
1.439996	3.3642578125
1.449996	3.6474609375
1.459996	3.837890625
1.47	3.9794921875
1.479996	4.0673828125
1.489996	4.1162109375
1.499996	4.072265625
1.509996	3.9404296875
1.519996	3.8037109375
1.529996	3.583984375
1.539996	3.3837890625
1.549996	3.1005859375
1.56	2.822265625
1.569996	2.5634765625
1.579996	2.314453125
1.589996	2.0947265625
1.599996	1.884765625
1.610004	1.796875
1.620004	1.7529296875
1.630004	1.7919921875
1.639996	1.8603515625
1.65	2.0166015625
1.659996	2.2509765625
1.670004	2.48046875
1.679996	2.7294921875
1.689996	2.9833984375
1.700004	3.2666015625
1.710004	3.4765625
1.720004	3.6865234375
1.729996	3.837890625
1.740004	3.96484375
1.750004	4.0234375
1.760004	3.984375
1.769996	3.935546875
1.779996	3.798828125
1.789996	3.65234375
1.799996	3.4228515625
1.81	3.193359375
1.819996	2.9541015625
1.829996	2.7001953125
1.839996	2.4609375
1.849996	2.216796875
1.859996	2.041015625
1.869996	1.9140625
1.879996	1.85546875
1.890004	1.8359375
1.899996	1.8994140625
1.909996	2.0361328125
1.919996	2.2119140625
1.930004	2.4169921875
1.939996	2.6318359375
1.949996	2.9052734375
1.959996	3.1396484375
1.970004	3.3642578125
1.979996	3.544921875
1.989996	3.73046875
1.999996	3.8720703125
2.010004	3.9111328125
2.020004	3.935546875
2.029996	3.8818359375
2.040004	3.8134765625
2.050004	3.642578125
2.060004	3.466796875
2.069996	3.26171875
2.079996	3.0419921875
2.089996	2.8076171875
2.099996	2.5634765625
2.11	2.36328125
2.119996	2.158203125
2.129996	2.0458984375
2.139996	1.943359375
2.149996	1.9091796875
2.159996	1.953125
2.169996	2.041015625
2.179996	2.1923828125
2.189996	2.353515625
2.2	2.5830078125
2.209996	2.7978515625
2.219996	3.037109375
2.229996	3.2421875
2.239996	3.4521484375
2.250004	3.6279296875
2.260004	3.75
2.270004	3.8427734375
2.279996	3.8525390625
2.29	3.8671875
2.299996	3.7841796875
2.310004	3.6669921875
2.319996	3.505859375
2.329996	3.3251953125
2.340004	3.125
2.350004	2.880859375
2.360004	2.6708984375
2.369996	2.4609375
2.380004	2.294921875
2.390004	2.1435546875
2.400004	2.03125
2.409996	1.9873046875
2.419996	1.9970703125
2.429996	2.0751953125
2.439996	2.1630859375
2.45	2.3291015625
2.459996	2.5244140625
2.469996	2.744140625
2.479996	2.9345703125
2.489996	3.154296875
2.499996	3.349609375
2.509996	3.5009765625
2.519996	3.6572265625
2.530004	3.73046875
2.539996	3.8134765625
2.549996	3.8037109375
2.559996	3.759765625
2.570004	3.6474609375
2.579996	3.525390625
2.589996	3.3740234375
2.599996	3.173828125
2.610004	2.9833984375
2.619996	2.75390625
2.629996	2.578125
2.639996	2.3876953125
2.650004	2.236328125
2.660004	2.119140625
2.669996	2.0654296875
2.680004	2.060546875
2.690004	2.0751953125
2.700004	2.177734375
2.709996	2.2998046875
2.719996	2.4951171875
2.729996	2.65625
2.739996	2.8662109375
2.75	3.0712890625
2.759996	3.251953125
2.769996	3.427734375
2.779996	3.5400390625
2.789996	3.671875
2.799996	3.73046875
2.809996	3.76953125
2.819996	3.73046875
2.829996	3.65234375
2.84	3.5400390625
2.849996	3.388671875
2.859996	3.232421875
2.869996	3.0322265625
2.879996	2.8515625
2.890004	2.65625
2.900004	2.48046875
2.910004	2.3291015625
2.919996	2.2119140625
2.93	2.138671875
2.939996	2.0849609375
2.950004	2.109375
2.959996	2.177734375
2.969996	2.3046875
2.980004	2.44140625
2.990004	2.6171875
3.000004	2.7978515625
3.009996	2.9833984375
3.020004	3.18359375
3.030004	3.3154296875
3.040004	3.4814453125
3.049996	3.57421875
3.059996	3.681640625
3.069996	3.6962890625
3.079996	3.701171875
3.09	3.6474609375
3.099996	3.53515625
3.109996	3.4326171875
3.119996	3.26171875
3.129996	3.115234375
3.139996	2.919921875
3.149996	2.744140625
3.159996	2.5634765625
3.170004	2.421875
3.179996	2.2900390625
3.189996	2.1923828125
3.199996	2.1484375
3.210004	2.1435546875
3.219996	2.2119140625
3.229996	2.28515625
3.239996	2.4169921875
3.250004	2.5732421875
3.259996	2.7490234375
3.269996	2.9296875
3.279996	3.0908203125
3.290004	3.2666015625
3.300004	3.3935546875
3.309996	3.5205078125
3.320004	3.59375
3.330004	3.65234375
3.340004	3.6669921875
3.349996	3.6083984375
3.359996	3.5546875
3.369996	3.4228515625
3.379996	3.3203125
3.39	3.1591796875
3.399996	2.98828125
3.409996	2.8076171875
3.419996	2.646484375
3.429996	2.5
3.439996	2.36328125
3.449996	2.2705078125
3.459996	2.197265625
3.469996	2.2021484375
3.48	2.2265625
3.489996	2.2900390625
3.499996	2.4072265625
3.509996	2.5390625
3.519996	2.6953125
3.530004	2.841796875
3.540004	3.02734375
3.550004	3.1787109375
3.559996	3.3349609375
3.57	3.4423828125
3.579996	3.5400390625
3.590004	3.5986328125
3.599996	3.603515625
3.609996	3.6083984375
3.620004	3.5302734375
3.630004	3.4619140625
3.640004	3.330078125
3.649996	3.212890625
3.660004	3.0419921875
3.670004	2.880859375
3.680004	2.7197265625
3.689996	2.55859375
3.699996	2.4365234375
3.709996	2.32421875
3.719996	2.265625
3.73	2.2412109375
3.739996	2.2509765625
3.749996	2.294921875
3.759996	2.3974609375
3.769996	2.5146484375
3.779996	2.6416015625
3.789996	2.802734375
3.799996	2.958984375
3.810004	3.1298828125
3.819996	3.2568359375
3.829996	3.3837890625
3.839996	3.4912109375
3.850004	3.53515625
3.859996	3.583984375
3.869996	3.5546875
3.879996	3.5302734375
3.890004	3.4521484375
3.899996	3.369140625
3.909996	3.2373046875
3.919996	3.1005859375
3.930004	2.9443359375
3.940004	2.7734375
3.949996	2.6416015625
3.960004	2.4951171875
3.970004	2.40234375
3.980004	2.314453125
3.989996	2.28515625
3.999996	2.2705078125
4.009996	2.314453125
4.019996	2.3974609375
4.03	2.48046875
4.039996	2.6171875
4.049996	2.744140625
4.059996	2.919921875
4.069996	3.0517578125
4.079996	3.203125
4.089996	3.330078125
4.099996	3.4326171875
4.109996	3.505859375
4.12	3.525390625
4.129996	3.5498046875
4.139996	3.505859375
4.149996	3.4716796875
4.159996	3.369140625
4.170004	3.2666015625
4.180004	3.134765625
4.190004	2.978515625
4.199996	2.8369140625
4.21	2.685546875
4.219996	2.5732421875
4.230004	2.4560546875
4.239996	2.3828125
4.249996	2.3193359375
4.260004	2.3095703125
4.270004	2.3388671875
4.280004	2.3828125
4.289996	2.48046875
4.300004	2.578125
4.310004	2.7197265625
4.320004	2.8466796875
4.329996	3.0029296875
4.339996	3.14453125
4.349996	3.271484375
4.359996	3.3740234375
4.37	3.4326171875
4.379996	3.5009765625
4.389996	3.5009765625
4.399996	3.5009765625
4.409996	3.4521484375
4.419996	3.388671875
4.429996	3.291015625
4.439996	3.1591796875
4.450004	3.0419921875
4.459996	2.880859375
4.469996	2.7587890625
4.479996	2.6220703125
4.490004	2.51953125
4.499996	2.421875
4.509996	2.3779296875
4.519996	2.3486328125
4.530004	2.3486328125
4.539996	2.3974609375
4.549996	2.4609375
4.559996	2.5732421875
4.570004	2.6806640625
4.580004	2.8173828125
4.589996	2.9541015625
4.600004	3.095703125
4.610004	3.2177734375
4.620004	3.30078125
4.629996	3.408203125
