Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 100 Hz
Time (s)	Voltage (V)
0	4.501953125
0.009996	4.51171875
0.020004	4.560546875
0.030004	4.5751953125
0.040004	4.580078125
0.049996	4.6142578125
0.060004	4.609375
0.070004	4.5849609375
0.08	4.6142578125
0.089996	4.6337890625
0.099996	4.5947265625
0.109996	4.5849609375
0.119996	4.5556640625
0.129996	4.6240234375
0.139996	4.58984375
0.149996	4.6240234375
0.159996	4.6435546875
0.169996	4.6240234375
0.179996	4.609375
0.189996	4.5947265625
0.199996	4.62890625
0.210004	4.609375
0.219996	4.5947265625
0.23	4.6142578125
0.239996	4.6142578125
0.250004	4.6435546875
0.259996	4.62890625
0.27	4.6826171875
0.279996	4.658203125
0.289996	4.697265625
0.300004	4.6826171875
0.309996	4.7021484375
0.320004	4.6533203125
0.330004	4.6533203125
0.340004	4.6435546875
0.349996	4.619140625
0.360004	4.58984375
0.370004	4.6142578125
0.380004	4.6240234375
0.389996	4.62890625
0.399996	4.619140625
0.409996	4.658203125
0.419996	4.6435546875
0.429996	4.658203125
0.439996	4.599609375
0.449996	4.609375
0.459996	4.580078125
0.469996	4.6435546875
0.479996	4.62890625
0.489996	4.6923828125
0.499996	4.7265625
0.509996	4.716796875
0.519996	4.7998046875
0.529996	4.8779296875
0.539996	4.9951171875
0.549996	4.2236328125
0.559996	3.603515625
0.569996	2.9443359375
0.579996	2.16796875
0.589996	1.7919921875
0.6	4.9951171875
0.609996	4.9951171875
0.620004	1.58203125
0.630004	1.97265625
0.640004	2.734375
0.649996	3.251953125
0.660004	3.8671875
0.670004	4.3017578125
0.680004	4.43359375
0.689996	4.5068359375
0.699996	4.0576171875
0.709996	3.61328125
0.719996	3.017578125
0.729996	2.451171875
0.739996	2.021484375
0.749996	1.552734375
0.759996	1.5625
0.769996	1.69921875
0.779996	2.0556640625
0.789996	2.6806640625
0.799996	3.1396484375
0.810004	3.7158203125
0.819996	4.033203125
0.829996	4.2529296875
0.839996	4.27734375
0.850004	3.9599609375
0.859996	3.642578125
0.869996	3.046875
0.879996	2.59765625
0.889996	2.1435546875
0.899996	1.7724609375
0.91	1.7431640625
0.919996	1.787109375
0.929996	2.1728515625
0.940004	2.607421875
0.949996	3.1005859375
0.960004	3.5986328125
0.970004	3.9208984375
0.980004	4.140625
0.989996	4.1552734375
1.000004	3.9453125
1.010004	3.623046875
1.020004	3.10546875
1.029996	2.6708984375
1.039996	2.2265625
1.049996	1.9140625
1.059996	1.81640625
1.069996	1.845703125
1.079996	2.2119140625
1.089996	2.578125
1.099996	3.046875
1.109996	3.505859375
1.119996	3.8037109375
1.129996	4.0673828125
1.139996	4.0283203125
1.149996	3.9404296875
1.159996	3.5595703125
1.169996	3.1640625
1.179996	2.7294921875
1.189996	2.294921875
1.199996	2.0458984375
1.209996	1.8603515625
1.219996	1.9580078125
1.229996	2.2216796875
1.24	2.568359375
1.249996	3.0517578125
1.260004	3.427734375
1.270004	3.779296875
1.280004	3.9453125
1.289996	3.994140625
1.300004	3.876953125
1.310004	3.5498046875
1.320004	3.173828125
1.329996	2.763671875
1.339996	2.392578125
1.349996	2.1435546875
1.359996	1.943359375
1.369996	2.0166015625
1.379996	2.2216796875
1.389996	2.578125
1.399996	3.0029296875
1.409996	3.3544921875
1.419996	3.720703125
1.429996	3.90625
1.439996	3.935546875
1.450004	3.8427734375
1.459996	3.5107421875
1.469996	3.2275390625
1.479996	2.7880859375
1.490004	2.4755859375
1.499996	2.177734375
1.509996	2.0361328125
1.519996	2.080078125
1.529996	2.2216796875
1.539996	2.6025390625
1.55	2.94921875
1.559996	3.3154296875
1.569996	3.642578125
1.580004	3.837890625
1.589996	3.9306640625
1.600004	3.779296875
1.610004	3.5400390625
1.620004	3.1982421875
1.629996	2.8369140625
1.640004	2.509765625
1.650004	2.2314453125
1.660004	2.0947265625
1.669996	2.119140625
1.679996	2.2802734375
1.689996	2.587890625
1.699996	2.9296875
1.709996	3.2763671875
1.719996	3.5693359375
1.729996	3.7646484375
1.739996	3.857421875
1.749996	3.75
1.759996	3.544921875
1.769996	3.212890625
1.779996	2.8759765625
1.789996	2.5537109375
1.799996	2.2802734375
1.809996	2.1630859375
1.819996	2.1240234375
1.829996	2.3193359375
1.839996	2.5830078125
1.849996	2.919921875
1.859996	3.2470703125
1.869996	3.5107421875
1.88	3.7353515625
1.889996	3.7890625
1.900004	3.740234375
1.910004	3.53515625
1.920004	3.22265625
1.929996	2.919921875
1.940004	2.578125
1.950004	2.3486328125
1.960004	2.1923828125
1.969996	2.1826171875
1.979996	2.3291015625
1.989996	2.578125
1.999996	2.890625
2.009996	3.203125
2.019996	3.486328125
2.029996	3.6865234375
2.039996	3.75
2.049996	3.701171875
2.059996	3.5009765625
2.069996	3.2421875
2.079996	2.9541015625
2.090004	2.63671875
2.099996	2.3974609375
2.109996	2.24609375
2.119996	2.2119140625
2.130004	2.3486328125
2.139996	2.568359375
2.149996	2.890625
2.159996	3.1494140625
2.169996	3.466796875
2.179996	3.6376953125
2.19	3.7060546875
2.199996	3.6865234375
2.209996	3.4814453125
2.220004	3.26171875
2.229996	2.9541015625
2.240004	2.666015625
2.250004	2.44140625
2.260004	2.275390625
2.269996	2.2705078125
2.280004	2.34375
2.290004	2.5927734375
2.300004	2.841796875
2.309996	3.134765625
2.319996	3.408203125
2.329996	3.5888671875
2.339996	3.69140625
2.349996	3.662109375
2.359996	3.5009765625
2.369996	3.2568359375
2.379996	2.978515625
2.389996	2.7001953125
2.399996	2.4755859375
2.409996	2.3193359375
2.419996	2.294921875
2.429996	2.3779296875
2.439996	2.587890625
2.449996	2.8466796875
2.459996	3.1005859375
2.469996	3.388671875
2.479996	3.5400390625
2.489996	3.671875
2.499996	3.6083984375
2.509996	3.4912109375
2.52	3.26171875
2.529996	2.9931640625
2.540004	2.744140625
2.550004	2.4951171875
2.560004	2.373046875
2.569996	2.314453125
2.580004	2.4072265625
2.590004	2.5927734375
2.600004	2.83203125
2.609996	3.10546875
2.619996	3.30078125
2.629996	3.53515625
2.639996	3.5986328125
2.649996	3.603515625
2.659996	3.4716796875
2.669996	3.2861328125
2.679996	3.02734375
2.689996	2.7783203125
2.699996	2.5390625
2.709996	2.3974609375
2.719996	2.34375
2.730004	2.421875
2.739996	2.587890625
2.749996	2.8173828125
2.759996	3.06640625
2.770004	3.3056640625
2.779996	3.4814453125
2.789996	3.583984375
2.799996	3.5595703125
2.809996	3.4716796875
2.819996	3.271484375
