Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 500 Hz
Time (s)	Voltage (V)
0	3.2275390625
0.001996	3.26171875
0.003996	3.2666015625
0.005996	3.271484375
0.007996	3.2763671875
0.009996	3.251953125
0.011996	3.251953125
0.013996	3.251953125
0.015996	3.2421875
0.017996	3.2421875
0.019996	3.2373046875
0.021996	3.2421875
0.023996	3.2373046875
0.025996	3.232421875
0.027996	3.2373046875
0.03	3.2373046875
0.031996	3.232421875
0.034	3.2177734375
0.036	3.2275390625
0.037996	3.2177734375
0.039996	3.1982421875
0.041996	3.1884765625
0.043996	3.1982421875
0.045996	3.193359375
0.047996	3.1982421875
0.049996	3.1982421875
0.051996	3.203125
0.053996	3.1982421875
0.055996	3.1982421875
0.057996	3.193359375
0.059996	3.1982421875
0.061996	3.193359375
0.063996	3.203125
0.065996	3.2080078125
0.067996	3.212890625
0.069996	3.2177734375
0.071996	3.2177734375
0.074	3.22265625
0.076	3.2275390625
0.078	3.22265625
0.08	3.232421875
0.081996	3.232421875
0.083996	3.2421875
0.085996	3.2421875
0.087996	3.251953125
0.089996	3.251953125
0.091996	3.251953125
0.093996	3.251953125
0.095996	3.2470703125
0.097996	3.2421875
0.099996	3.2470703125
0.101996	3.2470703125
0.103996	3.2470703125
0.105996	3.251953125
0.107996	3.2470703125
0.109996	3.251953125
0.111996	3.2470703125
0.113996	3.251953125
0.116	3.2373046875
0.117996	3.2275390625
0.12	3.2177734375
0.122	3.2275390625
0.123996	3.22265625
0.125996	3.232421875
0.127996	3.232421875
0.129996	3.212890625
0.131996	3.2080078125
0.133996	3.212890625
0.135996	3.193359375
0.137996	3.193359375
0.139996	3.193359375
0.141996	3.193359375
0.143996	3.193359375
0.145996	3.193359375
0.147996	3.203125
0.149996	3.203125
0.151996	3.1982421875
0.153996	3.1982421875
0.155996	3.1982421875
0.158	3.203125
0.159996	3.203125
0.162	3.212890625
0.164	3.2177734375
0.165996	3.22265625
0.167996	3.2275390625
0.169996	3.232421875
0.171996	3.2373046875
0.173996	3.2373046875
0.175996	3.2421875
0.177996	3.2421875
0.179996	3.2421875
0.181996	3.2421875
0.183996	3.2470703125
0.185996	3.251953125
0.187996	3.26171875
0.189996	3.2568359375
0.191996	3.26171875
0.193996	3.2568359375
0.195996	3.251953125
0.197996	3.2421875
0.199996	3.2421875
0.202	3.2421875
0.204	3.2421875
0.206	3.2470703125
0.208	3.2421875
0.209996	3.2421875
0.211996	3.2275390625
0.213996	3.22265625
0.215996	3.2177734375
0.217996	3.2177734375
0.219996	3.2080078125
0.221996	3.203125
0.223996	3.193359375
0.225996	3.1982421875
0.227996	3.203125
0.229996	3.1982421875
0.231996	3.1982421875
0.233996	3.1982421875
0.235996	3.193359375
0.237996	3.193359375
0.239996	3.1884765625
0.241996	3.1884765625
0.244	3.193359375
0.245996	3.203125
0.248	3.2080078125
0.25	3.2080078125
0.251996	3.2177734375
0.253996	3.212890625
0.255996	3.212890625
0.257996	3.2177734375
0.259996	3.22265625
0.261996	3.2275390625
0.263996	3.232421875
0.265996	3.2421875
0.267996	3.2421875
0.269996	3.2470703125
0.271996	3.2470703125
0.273996	3.251953125
0.275996	3.2470703125
0.277996	3.2470703125
0.279996	3.2470703125
0.281996	3.2421875
0.283996	3.2470703125
0.286	3.251953125
0.287996	3.251953125
0.29	3.251953125
0.292	3.251953125
0.293996	3.2470703125
0.295996	3.2421875
0.297996	3.232421875
0.299996	3.232421875
0.301996	3.2275390625
0.303996	3.22265625
0.305996	3.2373046875
0.307996	3.232421875
0.309996	3.22265625
