Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 500 Hz
Time (s)	Voltage (V)
0	1.1865234375
0.002	1.181640625
0.004	1.171875
0.006	1.15234375
0.008	1.1376953125
0.01	1.123046875
0.011996	1.09375
0.013996	1.0791015625
0.015996	1.0595703125
0.017996	1.03515625
0.02	1.0107421875
0.022	0.9912109375
0.024	0.966796875
0.026	0.9423828125
0.028	0.91796875
0.03	0.9033203125
0.032	0.8837890625
0.034	0.8642578125
0.036	3.1494140625
0.038	4.9951171875
0.04	4.9951171875
0.042	4.9951171875
0.044	4.9951171875
0.046	4.9951171875
0.048	4.9951171875
0.05	4.9951171875
0.052	4.9951171875
0.053996	4.9951171875
0.055996	4.9951171875
0.057996	4.9951171875
0.059996	4.9951171875
0.062	4.9951171875
0.064	4.9951171875
0.066	4.9951171875
0.068	4.9951171875
0.07	4.9951171875
0.072	4.9951171875
0.074	4.9951171875
0.076	4.9951171875
0.078	4.9951171875
0.08	4.9951171875
0.082	4.9951171875
0.084	4.9951171875
0.086	4.9951171875
0.088	4.9951171875
0.09	4.9951171875
0.092	4.9951171875
0.094	4.9951171875
0.096	4.9951171875
0.097996	4.9951171875
0.099996	4.9951171875
0.101996	4.9951171875
0.103996	4.9951171875
0.106	4.9951171875
0.108	4.9951171875
0.11	4.9951171875
0.112	4.9951171875
0.114	4.9951171875
0.116	4.9951171875
0.118	4.9951171875
0.12	4.9951171875
0.122	4.9951171875
0.124	4.9951171875
0.126	4.9951171875
0.128	4.9951171875
0.13	4.9951171875
0.132	4.9951171875
0.134	4.9951171875
0.136	4.9951171875
0.138	4.9951171875
0.139996	4.9951171875
0.141996	4.9951171875
0.143996	4.9951171875
0.145996	4.9951171875
0.148	4.9951171875
0.15	4.9951171875
0.152	4.9951171875
0.154	4.9951171875
0.156	1.1376953125
0.158	1.3330078125
0.16	1.50390625
0.162	1.6748046875
0.164	1.8701171875
0.166	1.9970703125
0.168	2.158203125
0.17	2.2705078125
0.172	2.4072265625
0.174	2.5390625
0.176	2.6416015625
0.178	2.763671875
0.18	2.880859375
0.181996	3.0419921875
0.183996	3.1982421875
0.185996	3.33984375
0.187996	3.486328125
0.19	3.6376953125
0.192	3.8134765625
0.194	3.9697265625
0.196	4.1162109375
0.198	4.267578125
0.2	4.3603515625
0.202	4.443359375
0.204	4.541015625
0.206	4.5751953125
0.208	4.658203125
0.21	4.716796875
0.212	4.7705078125
0.214	4.873046875
0.216	4.9267578125
0.218	4.9951171875
0.22	4.9951171875
0.222	4.9951171875
0.224	4.9951171875
0.225996	4.9951171875
0.227996	4.9951171875
0.229996	4.9951171875
0.231996	4.9951171875
0.234	4.9951171875
0.236	4.9951171875
0.238	4.9560546875
0.24	4.892578125
0.242	4.765625
0.244	4.677734375
