Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 500 Hz
Time (s)	Voltage (V)
0	3.056640625
0.001996	3.0908203125
0.003996	3.095703125
0.005996	3.095703125
0.007996	3.1005859375
0.009996	3.0810546875
0.011996	3.076171875
0.013996	3.076171875
0.015996	3.076171875
0.017996	3.0712890625
0.019996	3.076171875
0.021996	3.0810546875
0.023996	3.0810546875
0.025996	3.0810546875
0.027996	3.0810546875
0.029996	3.0810546875
0.031996	3.076171875
0.034	3.0712890625
0.035996	3.0712890625
0.038	3.0712890625
0.04	3.076171875
0.041996	3.0712890625
0.043996	3.076171875
0.045996	3.0810546875
0.047996	3.0810546875
0.049996	3.076171875
0.051996	3.076171875
0.053996	3.076171875
0.055996	3.0712890625
0.057996	3.0712890625
0.059996	3.0712890625
0.061996	3.0712890625
0.063996	3.076171875
0.065996	3.0810546875
0.067996	3.0810546875
0.069996	3.0810546875
0.071996	3.076171875
0.073996	3.076171875
0.075996	3.0712890625
0.078	3.06640625
0.08	3.0712890625
0.082	3.06640625
0.084	3.076171875
0.085996	3.0810546875
0.087996	3.0859375
0.089996	3.0810546875
0.091996	3.076171875
0.093996	3.076171875
0.095996	3.0712890625
0.097996	3.0615234375
0.099996	3.0712890625
0.101996	3.0712890625
0.103996	3.076171875
0.105996	3.076171875
0.107996	3.076171875
0.109996	3.0810546875
0.111996	3.076171875
0.113996	3.076171875
0.115996	3.0712890625
0.117996	3.0712890625
0.12	3.076171875
0.121996	3.0712890625
0.124	3.076171875
0.126	3.076171875
0.127996	3.076171875
0.129996	3.0810546875
0.131996	3.076171875
0.133996	3.076171875
0.135996	3.0810546875
0.137996	3.0712890625
0.139996	3.0712890625
0.141996	3.0712890625
0.143996	3.076171875
0.145996	3.0810546875
0.147996	3.0810546875
0.149996	3.0859375
0.151996	3.0810546875
0.153996	3.0810546875
0.155996	3.076171875
0.157996	3.0712890625
0.159996	3.0712890625
0.162	3.0712890625
0.163996	3.076171875
0.166	3.0810546875
0.168	3.0810546875
0.169996	3.0810546875
0.171996	3.0810546875
0.173996	3.076171875
0.175996	3.0712890625
0.177996	3.06640625
0.179996	3.0712890625
0.181996	3.0712890625
0.183996	3.076171875
0.185996	3.076171875
0.187996	3.0810546875
0.189996	3.0810546875
0.191996	3.076171875
0.193996	3.076171875
0.195996	3.076171875
0.197996	3.0712890625
0.199996	3.0712890625
0.201996	3.0712890625
0.203996	3.076171875
0.206	3.076171875
0.208	3.076171875
0.21	3.0810546875
0.212	3.076171875
0.213996	3.076171875
0.215996	3.076171875
0.217996	3.0712890625
0.219996	3.0712890625
0.221996	3.0712890625
0.223996	3.076171875
0.225996	3.076171875
0.227996	3.0810546875
0.229996	3.0810546875
0.231996	3.0810546875
0.233996	3.076171875
0.235996	3.0712890625
0.237996	3.0712890625
0.239996	3.06640625
0.241996	3.0712890625
0.243996	3.076171875
0.245996	3.0810546875
0.248	3.0810546875
0.249996	3.0810546875
0.252	3.076171875
0.254	3.076171875
0.255996	3.0712890625
0.257996	3.06640625
0.259996	3.06640625
0.261996	3.076171875
0.263996	3.076171875
0.265996	3.076171875
0.267996	3.0810546875
0.269996	3.076171875
0.271996	3.076171875
0.273996	3.076171875
0.275996	3.0712890625
0.277996	3.076171875
0.279996	3.0712890625
0.281996	3.076171875
0.283996	3.0810546875
0.285996	3.0859375
0.287996	3.0810546875
0.29	3.0810546875
0.291996	3.076171875
0.294	3.076171875
0.296	3.0712890625
0.297996	3.06640625
0.299996	3.06640625
0.301996	3.076171875
0.303996	3.076171875
0.305996	3.076171875
0.307996	3.0810546875
0.309996	3.076171875
0.311996	3.076171875
0.313996	3.0712890625
0.315996	3.0712890625
0.317996	3.0712890625
0.319996	3.0712890625
0.321996	3.076171875
0.323996	3.076171875
0.325996	3.076171875
0.327996	3.0810546875
0.329996	3.076171875
0.331996	3.076171875
0.334	3.076171875
0.336	3.0712890625
0.338	3.0712890625
0.34	3.0712890625
0.341996	3.0712890625
0.343996	3.0810546875
0.345996	3.0810546875
0.347996	3.0859375
0.349996	3.0859375
0.351996	3.076171875
0.353996	3.0712890625
0.355996	3.0712890625
0.357996	3.0712890625
0.359996	3.0712890625
0.361996	3.0712890625
0.363996	3.076171875
0.365996	3.076171875
0.367996	3.0810546875
0.369996	3.0810546875
0.371996	3.076171875
0.373996	3.076171875
0.376	3.076171875
0.377996	3.0712890625
0.38	3.0712890625
0.382	3.0712890625
0.383996	3.076171875
0.385996	3.0810546875
0.387996	3.0810546875
